Time (EET),Open,High,Low,Close,Volume
2014.08.21 00:00:00,1.65941,1.66011,1.65638,1.6579,79932.35
2014.08.22 00:00:00,1.65786,1.65972,1.65611,1.65669,85272.08
2014.08.25 00:00:00,1.65405,1.65981,1.65355,1.65777,85037.42
2014.08.26 00:00:00,1.65783,1.6595,1.65387,1.6539,85794.44
2014.08.27 00:00:00,1.65396,1.66052,1.65363,1.6575,111372.85
2014.08.28 00:00:00,1.6575,1.66132,1.65669,1.65854,122550.39
2014.08.29 00:00:00,1.65856,1.66133,1.65626,1.65958,128662.12
2014.09.01 00:00:00,1.65916,1.66435,1.65855,1.6606,89773.5
2014.09.02 00:00:00,1.66058,1.66146,1.64676,1.64688,123016.64
2014.09.03 00:00:00,1.64686,1.64972,1.64395,1.64602,123515.34
2014.09.04 00:00:00,1.64601,1.64652,1.63278,1.63306,144160.79
2014.09.05 00:00:00,1.63306,1.63401,1.62806,1.63241,139626.43
2014.09.08 00:00:00,1.61687,1.62323,1.60979,1.61031,203938.63
2014.09.09 00:00:00,1.61031,1.61565,1.60591,1.61056,186444.71
2014.09.10 00:00:00,1.61056,1.623,1.60518,1.62092,217745.8
2014.09.11 00:00:00,1.6209,1.62704,1.61854,1.6253,183816.19
2014.09.12 00:00:00,1.62533,1.62765,1.62044,1.62627,188247.09
2014.09.15 00:00:00,1.62754,1.62783,1.62206,1.6232,176010.47
2014.09.16 00:00:00,1.62319,1.63111,1.61618,1.62767,190214.25
2014.09.17 00:00:00,1.62761,1.63578,1.62483,1.62745,203140.22
2014.09.18 00:00:00,1.62747,1.64087,1.62461,1.63893,223671.82
2014.09.19 00:00:00,1.63877,1.65239,1.62829,1.62855,298635.86
2014.09.22 00:00:00,1.63057,1.63674,1.62876,1.63607,152736.94
2014.09.23 00:00:00,1.63609,1.64152,1.63025,1.6387,175252.97
2014.09.24 00:00:00,1.63872,1.64129,1.6327,1.63386,151975.54
2014.09.25 00:00:00,1.63385,1.63413,1.62758,1.63154,193337.59
2014.09.26 00:00:00,1.63153,1.63322,1.62375,1.62387,119621.54
2014.09.29 00:00:00,1.62304,1.6274,1.62132,1.624,187839.17
2014.09.30 00:00:00,1.624,1.62866,1.61664,1.62119,184626.02
2014.10.01 00:00:00,1.6212,1.62514,1.61613,1.61845,184832.77
2014.10.02 00:00:00,1.61841,1.62496,1.61122,1.61433,224118.58
2014.10.03 00:00:00,1.61433,1.61585,1.59516,1.59675,172172.38
2014.10.06 00:00:00,1.59563,1.60986,1.59535,1.60816,131731.55
2014.10.07 00:00:00,1.60824,1.61284,1.60255,1.60943,186238.69
2014.10.08 00:00:00,1.60942,1.6181,1.60316,1.61673,196069.69
2014.10.09 00:00:00,1.61673,1.62264,1.6104,1.61167,182803.52
2014.10.10 00:00:00,1.61165,1.61349,1.60083,1.60722,144675.81
2014.10.13 00:00:00,1.60727,1.6126,1.60505,1.60841,148287.06
2014.10.14 00:00:00,1.60841,1.60965,1.58972,1.59022,170936.68
2014.10.15 00:00:00,1.59026,1.6069,1.58747,1.60197,278778
2014.10.16 00:00:00,1.60197,1.60961,1.5941,1.60857,262218.41
2014.10.17 00:00:00,1.60862,1.61255,1.6029,1.60912,184085.27
2014.10.20 00:00:00,1.61029,1.6179,1.60797,1.61623,156572.84
2014.10.21 00:00:00,1.61629,1.61842,1.61097,1.61123,168758.03
2014.10.22 00:00:00,1.61111,1.61305,1.6011,1.60496,176587.99
2014.10.23 00:00:00,1.60504,1.60598,1.59944,1.60279,185651.47
2014.10.24 00:00:00,1.60277,1.60983,1.60163,1.60855,173185.7
2014.10.26 23:00:00,1.60779,1.61467,1.60751,1.61187,160523.78
